number,index,Heart Rate
0,2018-04-10 01:13:20,77.25
1,2018-04-10 01:13:30,77.0
2,2018-04-10 01:13:40,76.5
3,2018-04-10 01:13:50,76.0
4,2018-04-10 01:14:00,74.5
5,2018-04-10 01:14:10,75.0
6,2018-04-10 01:14:20,75.0
7,2018-04-10 01:14:30,76.0
8,2018-04-10 01:14:40,76.0
9,2018-04-10 01:14:50,75.0
10,2018-04-10 01:15:00,76.0
11,2018-04-10 01:15:10,75.0
12,2018-04-10 01:15:20,75.0
13,2018-04-10 01:15:30,74.5
14,2018-04-10 01:15:40,74.0
15,2018-04-10 01:15:50,74.0
16,2018-04-10 01:16:00,72.0
17,2018-04-10 01:16:10,73.5
18,2018-04-10 01:16:20,75.0
19,2018-04-10 01:16:30,76.0
20,2018-04-10 01:16:40,76.25
21,2018-04-10 01:16:50,76.5
22,2018-04-10 01:17:00,76.0
23,2018-04-10 01:17:10,74.5
24,2018-04-10 01:17:20,75.0
25,2018-04-10 01:17:30,75.0
26,2018-04-10 01:17:40,75.0
27,2018-04-10 01:17:50,75.0
28,2018-04-10 01:18:00,75.5
29,2018-04-10 01:18:10,76.0
30,2018-04-10 01:18:20,76.0
31,2018-04-10 01:18:30,76.0
32,2018-04-10 01:18:40,75.0
33,2018-04-10 01:18:50,75.5
34,2018-04-10 01:19:00,77.0
35,2018-04-10 01:19:10,76.0
36,2018-04-10 01:19:20,75.5
37,2018-04-10 01:19:30,76.0
38,2018-04-10 01:19:40,76.0
39,2018-04-10 01:19:50,76.0
40,2018-04-10 01:20:00,75.0
41,2018-04-10 01:20:10,74.5
42,2018-04-10 01:20:20,75.0
43,2018-04-10 01:20:30,73.0
44,2018-04-10 01:20:40,72.0
45,2018-04-10 01:20:50,72.0
46,2018-04-10 01:21:00,73.5
47,2018-04-10 01:21:10,74.0
48,2018-04-10 01:21:20,73.0
49,2018-04-10 01:21:30,73.5
50,2018-04-10 01:21:40,75.0
51,2018-04-10 01:21:50,76.0
52,2018-04-10 01:22:00,75.0
53,2018-04-10 01:22:10,75.0
54,2018-04-10 01:22:20,74.5
55,2018-04-10 01:22:30,73.5
56,2018-04-10 01:22:40,73.0
57,2018-04-10 01:22:50,72.0
58,2018-04-10 01:23:00,72.0
59,2018-04-10 01:23:10,72.5
60,2018-04-10 01:23:20,70.5
61,2018-04-10 01:23:30,69.0
62,2018-04-10 01:23:40,69.0
63,2018-04-10 01:23:50,70.0
64,2018-04-10 01:24:00,70.0
65,2018-04-10 01:24:10,69.5
66,2018-04-10 01:24:20,70.0
67,2018-04-10 01:24:30,69.0
68,2018-04-10 01:24:40,69.0
69,2018-04-10 01:24:50,69.0
70,2018-04-10 01:25:00,69.0
71,2018-04-10 01:25:10,69.25
72,2018-04-10 01:25:20,69.5
73,2018-04-10 01:25:30,69.0
74,2018-04-10 01:25:40,69.0
75,2018-04-10 01:25:50,70.0
76,2018-04-10 01:26:00,69.0
77,2018-04-10 01:26:10,69.0
78,2018-04-10 01:26:20,68.5
79,2018-04-10 01:26:30,68.0
80,2018-04-10 01:26:40,69.0
81,2018-04-10 01:26:50,68.75
82,2018-04-10 01:27:00,68.5
83,2018-04-10 01:27:10,68.25
84,2018-04-10 01:27:20,68.0
85,2018-04-10 01:27:30,67.5
86,2018-04-10 01:27:40,67.0
87,2018-04-10 01:27:50,68.0
88,2018-04-10 01:28:00,68.5
89,2018-04-10 01:28:10,68.5
90,2018-04-10 01:28:20,68.5
91,2018-04-10 01:28:30,69.0
92,2018-04-10 01:28:40,71.5
93,2018-04-10 01:28:50,69.0
94,2018-04-10 01:29:00,67.0
95,2018-04-10 01:29:10,66.5
96,2018-04-10 01:29:20,67.0
97,2018-04-10 01:29:30,69.0
98,2018-04-10 01:29:40,69.25
99,2018-04-10 01:29:50,69.5
100,2018-04-10 01:30:00,68.0
101,2018-04-10 01:30:10,68.0
102,2018-04-10 01:30:20,76.5
103,2018-04-10 01:30:30,75.0
104,2018-04-10 01:30:40,76.5
105,2018-04-10 01:30:50,78.0
106,2018-04-10 01:31:00,79.0
107,2018-04-10 01:31:10,75.5
108,2018-04-10 01:31:20,71.5
109,2018-04-10 01:31:30,70.0
110,2018-04-10 01:31:40,68.5
111,2018-04-10 01:31:50,71.0
112,2018-04-10 01:32:00,69.0
113,2018-04-10 01:32:10,69.0
114,2018-04-10 01:32:20,68.5
115,2018-04-10 01:32:30,68.0
116,2018-04-10 01:32:40,64.0
117,2018-04-10 01:32:50,64.0
118,2018-04-10 01:33:00,64.25
119,2018-04-10 01:33:10,64.5
120,2018-04-10 01:33:20,66.0
121,2018-04-10 01:33:30,65.0
122,2018-04-10 01:33:40,67.0
123,2018-04-10 01:33:50,64.5
124,2018-04-10 01:34:00,65.0
125,2018-04-10 01:34:10,64.25
126,2018-04-10 01:34:20,63.5
127,2018-04-10 01:34:30,60.5
128,2018-04-10 01:34:40,62.5
129,2018-04-10 01:34:50,64.5
130,2018-04-10 01:35:00,64.0
131,2018-04-10 01:35:10,65.0
132,2018-04-10 01:35:20,66.0
133,2018-04-10 01:35:30,66.0
134,2018-04-10 01:35:40,67.0
135,2018-04-10 01:35:50,66.0
136,2018-04-10 01:36:00,67.5
137,2018-04-10 01:36:10,65.0
138,2018-04-10 01:36:20,64.75
139,2018-04-10 01:36:30,64.5
140,2018-04-10 01:36:40,66.5
141,2018-04-10 01:36:50,68.0
142,2018-04-10 01:37:00,66.5
143,2018-04-10 01:37:10,67.0
144,2018-04-10 01:37:20,68.0
145,2018-04-10 01:37:30,68.0
146,2018-04-10 01:37:40,68.0
147,2018-04-10 01:37:50,67.0
148,2018-04-10 01:38:00,66.0
149,2018-04-10 01:38:10,62.5
150,2018-04-10 01:38:20,66.0
151,2018-04-10 01:38:30,67.0
152,2018-04-10 01:38:40,68.0
153,2018-04-10 01:38:50,68.5
154,2018-04-10 01:39:00,66.0
155,2018-04-10 01:39:10,67.0
156,2018-04-10 01:39:20,66.0
157,2018-04-10 01:39:30,67.0
158,2018-04-10 01:39:40,65.5
159,2018-04-10 01:39:50,65.75
160,2018-04-10 01:40:00,66.0
161,2018-04-10 01:40:10,67.0
162,2018-04-10 01:40:20,67.5
163,2018-04-10 01:40:30,65.5
164,2018-04-10 01:40:40,66.0
165,2018-04-10 01:40:50,65.75
166,2018-04-10 01:41:00,65.5
167,2018-04-10 01:41:10,68.0
168,2018-04-10 01:41:20,66.5
169,2018-04-10 01:41:30,67.0
170,2018-04-10 01:41:40,67.5
171,2018-04-10 01:41:50,65.5
172,2018-04-10 01:42:00,66.25
173,2018-04-10 01:42:10,67.0
174,2018-04-10 01:42:20,67.0
175,2018-04-10 01:42:30,66.75
176,2018-04-10 01:42:40,66.5
177,2018-04-10 01:42:50,65.0
178,2018-04-10 01:43:00,65.0
179,2018-04-10 01:43:10,63.5
180,2018-04-10 01:43:20,65.5
181,2018-04-10 01:43:30,67.0
182,2018-04-10 01:43:40,65.0
183,2018-04-10 01:43:50,65.5
184,2018-04-10 01:44:00,65.25
185,2018-04-10 01:44:10,65.0
186,2018-04-10 01:44:20,65.0
187,2018-04-10 01:44:30,66.5
188,2018-04-10 01:44:40,64.0
189,2018-04-10 01:44:50,66.0
190,2018-04-10 01:45:00,67.0
191,2018-04-10 01:45:10,63.5
192,2018-04-10 01:45:20,63.5
193,2018-04-10 01:45:30,65.0
194,2018-04-10 01:45:40,63.5
195,2018-04-10 01:45:50,64.0
196,2018-04-10 01:46:00,65.0
197,2018-04-10 01:46:10,65.0
198,2018-04-10 01:46:20,64.0
199,2018-04-10 01:46:30,66.0
200,2018-04-10 01:46:40,65.25
201,2018-04-10 01:46:50,64.5
202,2018-04-10 01:47:00,65.5
203,2018-04-10 01:47:10,65.0
204,2018-04-10 01:47:20,63.0
205,2018-04-10 01:47:30,64.0
206,2018-04-10 01:47:40,65.0
207,2018-04-10 01:47:50,66.0
208,2018-04-10 01:48:00,67.5
209,2018-04-10 01:48:10,66.0
210,2018-04-10 01:48:20,66.0
211,2018-04-10 01:48:30,63.5
212,2018-04-10 01:48:40,64.0
213,2018-04-10 01:48:50,65.0
214,2018-04-10 01:49:00,66.0
215,2018-04-10 01:49:10,66.0
216,2018-04-10 01:49:20,65.5
217,2018-04-10 01:49:30,65.75
218,2018-04-10 01:49:40,66.0
219,2018-04-10 01:49:50,66.0
220,2018-04-10 01:50:00,67.0
221,2018-04-10 01:50:10,64.5
222,2018-04-10 01:50:20,66.0
223,2018-04-10 01:50:30,66.0
224,2018-04-10 01:50:40,62.0
225,2018-04-10 01:50:50,63.0
226,2018-04-10 01:51:00,62.0
227,2018-04-10 01:51:10,64.0
228,2018-04-10 01:51:20,64.0
229,2018-04-10 01:51:30,64.0
230,2018-04-10 01:51:40,66.0
231,2018-04-10 01:51:50,65.0
232,2018-04-10 01:52:00,65.5
233,2018-04-10 01:52:10,64.0
234,2018-04-10 01:52:20,65.0
235,2018-04-10 01:52:30,66.0
236,2018-04-10 01:52:40,67.0
237,2018-04-10 01:52:50,66.0
238,2018-04-10 01:53:00,67.5
239,2018-04-10 01:53:10,66.0
